BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,BCUTare-1l,BCUTs-1l,BCUTse-1l,BCUTpe-1l,PEOE_VSA9,BCUTm-1l,SMR_VSA3,BCUTc-1l,BCUTdv-1h,TopoPSA(NO),PEOE_VSA1,MDEC-33,SMR_VSA7,BCUTd-1l,SM1_Dzm,BCUTdv-1l,Xc-5dv,Xch-6dv,SM1_Dzpe,Xc-5d,BCUTZ-1h,Xch-7d,BCUTp-1h,PEOE_VSA10,SMR_VSA1,TopoPSA(NO),EState_VSA1,BCUTi-1l,EState_VSA2,SlogP_VSA2,EState_VSA1,BCUTpe-1h,BCUTare-1h,SM1_Dzpe,VE3_Dt,PEOE_VSA8,SM1_Dzare,MID_N,SM1_DzZ,BCUTse-1h,VR3_Dt,SM1_Dzse,SM1_Dzi,Xch-6d,MID_O,GGI6,MDEO-11,SMR_VSA5,ETA_eta_BR,SlogP_VSA3,VR1_Dt,SpDiam_A,BCUTc-1h,Xc-3d,SM1_Dzv,GGI8,VE1_Dt,EState_VSA8,GGI4,SlogP_VSA1,VE2_Dt,BCUTm-1h,BCUTv-1h,VR2_Dt,Xpc-4d,EState_VSA10,GGI7,SpMax_A,SlogP_VSA6,Xch-7dv,BCUTs-1h,VR3_DzZ,ATSC0are,MDEO-12,MID_h,SlogP_VSA5,fragCpx,LogEE_A,GGI5,ATSC0pe,ABC,ETA_eta_B,ATSC0se,VR3_Dzv,EState_VSA4,Xch-5dv,piPC4,ETA_dEpsilon_D,GATS1se,SRW09,SMR_VSA6,AATS1i,MDEC-22,VR1_DzZ,VR3_Dzpe,target
14.70177584,14.55774099,0.744079888,5.748824783,3.218349007,2.238180445,1.240004694,2.479450876,2.284833335,12.71084835,11.76640489,9.551078169,0.509672016,6.023724629,84.32,9.843390349,3.516759154,32.59837972,0.97725105,0.937973686,0.344813654,0.066193872,0.094678984,0.11588745,0.330933093,8.02426598,0.41758377,1.937685537,6.227901171,9.843390349,84.32,5.689743398,11.01603009,24.49801642,27.36845392,5.689743398,3.497551509,3.550658204,0.11588745,1.848082221,11.76029506,0.08159088,4.205635584,0.872865774,3.709359866,4.750512106,1.274505187,1.143035914,0.206930271,7.296686617,0.263673469,0.474957126,32.097248,0.472821359,4.736862954,72.2771819,4.766988712,0.492309943,1.213980357,0.965724328,0.045099521,3.967271551,4.983978521,1.094444444,11.24901029,0.247954472,16.01190048,20.8232881,4.517323869,2.913526086,9.589074368,0.146719104,2.406956539,15.78591794,0.11444641,7.009374391,4.780013323,0.05780271,0.721124785,11.5023222,24.63299591,49.06,3.699344626,0.507222222,0.054853839,12.22766434,0.300821359,0.070936089,4.773690511,0,0.068041382,4.754667197,0.492929093,0.839738341,6.580639137,6.606881965,151.3827337,2.249576847,74.44121056,4.780762789,1
14.70055034,13.64428687,0.741445939,5.679852679,3.258334983,2.178923206,1.143745165,2.424757754,2.228722288,39.95814702,11.69140063,0,0.370853137,6.028956806,92.68,33.52770512,25.56023534,40.95582275,0.977853353,0.940536026,0.3450387,0.248880051,0.178662546,0.15033128,0.693988348,8.030220867,0.901132075,2.006345207,0,38.3222423,92.68,12.02187243,10.94031271,31.20494165,45.80504958,12.02187243,3.502118632,3.556050663,0.15033128,2.794152354,11.83581209,0.116278618,0,0.878119254,3.715036978,6.354613795,1.987958402,1.385073487,0.522150971,15.4313528,1.155736961,0.2,12.02187243,0.777801657,9.531400138,191.713392,5.141245224,0.492818272,2.02803896,0.951938615,0.526344797,5.449588305,0,2.985555556,23.68431477,0.181652944,16.01640969,20.91248213,6.390446398,5.927958963,9.901064579,0.831668084,2.594727166,24.26546827,0.290166011,7.008274435,6.399864285,0.107146085,1.945385141,15.4313528,28.71222691,286.08,4.364258912,1.507222222,0.103885374,23.8155689,0.347801657,0.126020647,6.43362543,11.12690298,0.077575305,5.547128665,0.364440874,0.878123687,7.412764017,34.72921689,144.3473482,3.452842225,200.587788,6.399368313,1
13.30411693,17.42477438,0.545839445,5.666628147,3.296716219,2.162280161,1.195097339,2.406729135,2.21110595,30.29785437,11.68059773,4.567099648,0.369640638,7.00407181,109.07,24.41692712,21.71790118,68.21584805,0.972448776,0.94347038,0.270627057,0.342075445,0.129607429,0.167601699,1.075874602,17.00110438,0.651342944,2.208021696,17.13018417,28.92940716,109.07,28.82060884,10.92983361,40.82509838,46.91807537,28.82060884,3.988694408,4.107736538,0.167601699,3.1062608,42.72322078,0.130070535,4.478475604,0.883753869,4.009991091,6.849495812,2.29477896,1.974668392,0.342364544,10.64050301,1.861269841,1.426970016,39.1517801,1.193225199,11.21535881,254.9743603,5.049306934,0.493480839,3.006134615,0.947560506,0.509952129,6.037125452,0,3.174444444,15.06556308,0.163165553,35.45051799,22.45587143,6.891198927,7.7110107,24.59666634,0.90625,2.524973969,35.25684903,0.202904182,8.00192355,6.886460689,0.130098946,0.664103317,18.66904757,54.21585013,268.1,4.538757206,2.2775,0.130936172,28.67410827,0.849225199,0.14520717,6.904244822,0,0.079056942,5.873876805,0.391711699,0.71482036,6.555356892,25.16134564,145.8672399,8.90937386,264.5758212,6.887220999,1
13.30411758,17.42477408,0.545842086,5.666628158,3.296578987,2.162280213,1.195097337,2.406729203,2.211106012,30.29785437,11.68059773,4.567099648,0.369642039,7.004070342,92,24.41692712,20.16695626,68.21584805,0.972549327,0.942573403,0.270626982,0.330169158,0.113705797,0.155094824,0.994941509,17.00110426,0.604927648,2.208016512,17.13018417,24.13486998,92,28.82060884,10.92983361,29.35446716,47.55565204,28.82060884,3.988690938,4.107733654,0.155094824,3.065226269,42.84715556,0.117224774,4.471895563,0.881915151,4.009984809,6.782051667,2.04628416,1.801534206,0.239805366,8.873203842,1.780453515,1.27275233,39.1517801,1.103908802,6.420821623,244.9656071,5.048669418,0.493275839,2.801016257,0.953306102,0.460569413,5.955364578,4.899909731,3.174444444,15.06556308,0.165426794,35.45051794,22.45587124,6.804600197,7.213642266,19.80212916,0.875,2.524519448,35.25684903,0.205672927,8.001922413,6.822288409,0.120062558,0.555523807,16.89479331,54.21585013,261.09,4.511608767,2.138611111,0.122185207,27.8980518,0.759908802,0.133253311,6.839772852,31.61854233,0.111803399,5.845354372,0.391627509,0.728962517,6.293419279,31.70610205,145.9691895,11.3119085,255.0232107,6.823125241,1
13.30411641,17.42477449,0.545837289,5.666628148,3.296716219,2.162280162,1.195097341,2.406729139,2.211105953,36.84261077,11.68059775,4.567099648,0.369633954,7.004072816,118.3,24.25388035,21.71790118,68.21584805,0.972448776,0.944367357,0.270627209,0.332429829,0.09925977,0.180108574,1.075874602,17.0011044,0.651342944,2.208014076,23.73706613,33.66627011,118.3,34.91384891,10.92983364,41.52480062,53.71101767,34.91384891,3.988696548,4.107738324,0.180108574,3.1062608,29.75764275,0.142916296,4.478475604,0.885592587,4.009995669,6.849495812,2.54327376,2.147802578,0.342364544,12.62995245,1.861269841,1.426970016,26.31013685,1.193225199,11.15768458,254.9743603,5.049306934,0.504469801,3.006134615,0.941814911,0.509952129,6.037125452,0,3.174444444,15.06556308,0.163165553,35.450518,22.45587084,6.891198927,7.7110107,24.59666634,0.90625,2.524973969,35.25684903,0.176792468,8.001923627,6.885660012,0.139150348,1.230237838,20.65849701,41.37420689,268.11,4.538757206,2.2775,0.138675242,28.67410827,0.849225199,0.156108446,6.905338188,0,0.045643546,5.873876805,0.394347546,0.752570448,6.555356892,31.76822761,146.4518964,7.129081326,264.3640663,6.886407502,1
13.30411693,17.42477437,0.545839711,5.666628138,3.296588573,2.16228018,1.195097335,2.406729166,2.211105977,43.5116183,11.68059771,4.567099648,0.369639623,7.004071535,101.23,29.15379008,20.16695626,68.21584805,0.972548796,0.94347038,0.27062691,0.330169158,0.103447644,0.167601699,0.994941509,17.00110438,0.546002082,2.208017015,17.13018417,28.87173293,101.23,28.82060884,10.92983358,29.35446716,60.76941597,28.82060884,3.988693987,4.107736238,0.167601699,3.105643645,42.84715556,0.130070535,4.497421704,0.883753869,4.00999016,6.850487798,2.29477896,1.974668392,0.258534105,10.87773359,1.767346939,1.27275233,26.31013685,1.103908802,11.15768458,255.2274167,5.048827245,0.493371821,2.801016257,0.947560506,0.485260771,6.033400762,4.899909731,3.115555556,15.06556308,0.163064885,35.45051799,22.45587135,6.89803829,7.213642266,19.80212916,0.930555556,2.524413623,35.25684903,0.163944978,8.001922657,6.888052157,0.132368532,0.805323286,18.92630415,41.37420689,268.1,4.535454374,2.256944444,0.133725411,28.60515859,0.759908802,0.146874266,6.906543455,5.687386275,0,5.848243504,0.391711699,0.759616104,0,44.91986598,146.4538054,11.00675482,264.9972204,6.888760337,1
13.30411745,17.42477426,0.545841498,5.666628007,3.296588573,2.162280059,1.195097333,2.406729052,2.211105866,30.29785437,11.68059759,4.567099648,0.3696412,7.004070573,92,24.41692712,20.16695626,68.21584805,0.972548796,0.942573403,0.270626772,0.330169158,0.136861039,0.155094824,0.994941509,17.00110435,0.546002082,2.208024154,17.13018417,24.13486998,92,28.82060884,10.92983349,29.35446716,47.55565204,28.82060884,3.988691984,4.107734544,0.155094824,3.105643645,42.84715556,0.117224774,4.497421704,0.881915151,4.009986104,6.850487798,2.04628416,1.801534206,0.258534105,8.873253967,1.767346939,1.27275233,45.57260172,1.103908802,6.420821623,255.2274167,5.048827245,0.493313985,2.801016257,0.953306102,0.485260771,6.033400762,4.899909731,3.115555556,15.06556308,0.163064885,35.45051798,22.45587195,6.89803829,7.213642266,19.80212916,0.930555556,2.524413623,35.25684903,0.180651675,8.00192258,6.888989446,0.121996205,0.555523807,16.92182453,60.63667176,268.09,4.535454374,2.256944444,0.124625627,28.60515859,0.759908802,0.134659696,6.905214857,38.03936396,0,5.848243504,0.389075855,0.726268534,0,31.70610205,145.9015768,13.49989273,265.2457159,6.889708731,1
13.30411681,17.42477456,0.545838861,5.666627994,3.296726011,2.162279999,1.195097334,2.406728975,2.211105795,30.29785437,11.68059759,4.567099648,0.369639802,7.004072041,109.07,24.41692712,21.71790118,68.21584805,0.972448347,0.94347038,0.270626847,0.342075445,0.113705797,0.167601699,1.075874602,17.00110447,0.618522373,2.20802937,17.13018417,28.92940716,109.07,28.82060884,10.92983349,40.82509838,46.91807537,28.82060884,3.98869546,4.107737432,0.167601699,3.14564436,42.72322078,0.130070535,4.496072886,0.883753869,4.009992399,6.915916796,2.29477896,1.974668392,0.239805366,10.64886691,1.848163265,1.426970016,45.57260172,1.193225199,11.21535881,265.3144507,5.049549282,0.493516991,3.006134615,0.947560506,0.534643487,6.114379505,0,3.226666667,15.06556308,0.160904724,35.45051804,22.45587214,6.98195923,7.7110107,24.59666634,0.961805556,2.524774641,35.25684903,0.191895828,8.001923717,6.951155634,0.132368545,0.664103317,18.69601177,60.63667176,275.1,4.561942236,2.395833333,0.133738855,29.38121505,0.849225199,0.14692993,6.967554812,12.84164325,0,5.87668481,0.389185632,0.711115655,0,25.16134564,145.8029826,10.79760314,274.8305063,6.9518211,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,2.162280182,1.195097333,2.406729172,2.211105981,36.40182075,11.68059772,4.567099648,0.369640883,7.004070989,112.23,29.52345452,21.24587678,68.21584805,0.972521386,0.94347038,0.270626997,0.330169158,0.144272473,0.167601699,0.994941509,17.00110438,0.651342944,2.208019792,17.13018417,29.24139737,112.23,34.92457523,10.9298336,34.91791865,58.76614583,34.92457523,3.988693784,4.107736082,0.167601699,3.106524785,42.84715556,0.130070535,4.481954733,0.883753869,4.009989657,6.848873662,2.29477896,1.974668392,0.342364544,10.63156036,1.882494331,1.384212391,38.83492486,1.210061951,6.420821623,254.8157773,5.048866139,0.493366208,3.089691392,0.947560506,0.491819413,6.038719372,0,3.334444444,15.06556308,0.163208632,35.45051799,22.45587141,6.8869129,7.562806993,24.90865655,0.943594104,2.524702159,35.25684903,0.214240247,8.001922953,6.889157747,0.132368532,0.650255676,18.66378235,47.79502851,268.1,4.53864722,2.1875,0.133725411,28.71454839,0.866061951,0.146874266,6.907415859,0,0.091287093,5.853996846,0.426693945,0.776182185,6.555356892,31.70610205,146.5325591,9.005497576,265.2903608,6.889871134,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,2.162280182,1.195097333,2.406729172,2.211105981,36.40182075,11.68059772,4.567099648,0.369640883,7.004070989,112.23,29.52345452,21.24587678,68.21584805,0.972521386,0.94347038,0.270626997,0.330169158,0.144272473,0.167601699,0.994941509,17.00110438,0.651342944,2.208019792,17.13018417,29.24139737,112.23,34.92457523,10.9298336,34.91791865,58.76614583,34.92457523,3.988693784,4.107736082,0.167601699,3.106524785,42.84715556,0.130070535,4.481954733,0.883753869,4.009989657,6.848873662,2.29477896,1.974668392,0.342364544,10.63156036,1.882494331,1.384212391,38.83492486,1.210061951,6.420821623,254.8157773,5.048866139,0.493366208,3.089691392,0.947560506,0.491819413,6.038719372,0,3.334444444,15.06556308,0.163208632,35.45051799,22.45587141,6.8869129,7.562806993,24.90865655,0.943594104,2.524702159,35.25684903,0.214240247,8.001922953,6.889157747,0.132368532,0.650255676,18.66378235,47.79502851,268.1,4.53864722,2.1875,0.133725411,28.71454839,0.866061951,0.146874266,6.907415859,0,0.091287093,5.853996846,0.426693945,0.776182185,6.555356892,31.70610205,146.5325591,9.005497576,265.2903608,6.889871134,1
