BCUTv-1l,BCUTi-1h,BCUTp-1l,BCUTZ-1l,BCUTd-1h,BCUTare-1l,BCUTs-1l,BCUTse-1l,BCUTpe-1l,PEOE_VSA9,BCUTm-1l,SMR_VSA3,BCUTc-1l,BCUTdv-1h,TopoPSA(NO),PEOE_VSA1,MDEC-33,SMR_VSA7,BCUTd-1l,SM1_Dzm,BCUTdv-1l,Xc-5dv,Xch-6dv,SM1_Dzpe,Xc-5d,BCUTZ-1h,Xch-7d,BCUTp-1h,PEOE_VSA10,SMR_VSA1,TopoPSA(NO),EState_VSA1,BCUTi-1l,EState_VSA2,SlogP_VSA2,EState_VSA1,BCUTpe-1h,BCUTare-1h,SM1_Dzpe,VE3_Dt,target
14.70177584,14.55774099,0.744079888,5.748824783,3.218349007,2.238180445,1.240004694,2.479450876,2.284833335,12.71084835,11.76640489,9.551078169,0.509672016,6.023724629,84.32,9.843390349,3.516759154,32.59837972,0.97725105,0.937973686,0.344813654,0.066193872,0.094678984,0.11588745,0.330933093,8.02426598,0.41758377,1.937685537,6.227901171,9.843390349,84.32,5.689743398,11.01603009,24.49801642,27.36845392,5.689743398,3.497551509,3.550658204,0.11588745,1.848082221,1
14.70055034,13.64428687,0.741445939,5.679852679,3.258334983,2.178923206,1.143745165,2.424757754,2.228722288,39.95814702,11.69140063,0,0.370853137,6.028956806,92.68,33.52770512,25.56023534,40.95582275,0.977853353,0.940536026,0.3450387,0.248880051,0.178662546,0.15033128,0.693988348,8.030220867,0.901132075,2.006345207,0,38.3222423,92.68,12.02187243,10.94031271,31.20494165,45.80504958,12.02187243,3.502118632,3.556050663,0.15033128,2.794152354,1
13.30411693,17.42477438,0.545839445,5.666628147,3.296716219,2.162280161,1.195097339,2.406729135,2.21110595,30.29785437,11.68059773,4.567099648,0.369640638,7.00407181,109.07,24.41692712,21.71790118,68.21584805,0.972448776,0.94347038,0.270627057,0.342075445,0.129607429,0.167601699,1.075874602,17.00110438,0.651342944,2.208021696,17.13018417,28.92940716,109.07,28.82060884,10.92983361,40.82509838,46.91807537,28.82060884,3.988694408,4.107736538,0.167601699,3.1062608,1
13.30411758,17.42477408,0.545842086,5.666628158,3.296578987,2.162280213,1.195097337,2.406729203,2.211106012,30.29785437,11.68059773,4.567099648,0.369642039,7.004070342,92,24.41692712,20.16695626,68.21584805,0.972549327,0.942573403,0.270626982,0.330169158,0.113705797,0.155094824,0.994941509,17.00110426,0.604927648,2.208016512,17.13018417,24.13486998,92,28.82060884,10.92983361,29.35446716,47.55565204,28.82060884,3.988690938,4.107733654,0.155094824,3.065226269,1
13.30411641,17.42477449,0.545837289,5.666628148,3.296716219,2.162280162,1.195097341,2.406729139,2.211105953,36.84261077,11.68059775,4.567099648,0.369633954,7.004072816,118.3,24.25388035,21.71790118,68.21584805,0.972448776,0.944367357,0.270627209,0.332429829,0.09925977,0.180108574,1.075874602,17.0011044,0.651342944,2.208014076,23.73706613,33.66627011,118.3,34.91384891,10.92983364,41.52480062,53.71101767,34.91384891,3.988696548,4.107738324,0.180108574,3.1062608,1
13.30411693,17.42477437,0.545839711,5.666628138,3.296588573,2.16228018,1.195097335,2.406729166,2.211105977,43.5116183,11.68059771,4.567099648,0.369639623,7.004071535,101.23,29.15379008,20.16695626,68.21584805,0.972548796,0.94347038,0.27062691,0.330169158,0.103447644,0.167601699,0.994941509,17.00110438,0.546002082,2.208017015,17.13018417,28.87173293,101.23,28.82060884,10.92983358,29.35446716,60.76941597,28.82060884,3.988693987,4.107736238,0.167601699,3.105643645,1
13.30411745,17.42477426,0.545841498,5.666628007,3.296588573,2.162280059,1.195097333,2.406729052,2.211105866,30.29785437,11.68059759,4.567099648,0.3696412,7.004070573,92,24.41692712,20.16695626,68.21584805,0.972548796,0.942573403,0.270626772,0.330169158,0.136861039,0.155094824,0.994941509,17.00110435,0.546002082,2.208024154,17.13018417,24.13486998,92,28.82060884,10.92983349,29.35446716,47.55565204,28.82060884,3.988691984,4.107734544,0.155094824,3.105643645,1
13.30411681,17.42477456,0.545838861,5.666627994,3.296726011,2.162279999,1.195097334,2.406728975,2.211105795,30.29785437,11.68059759,4.567099648,0.369639802,7.004072041,109.07,24.41692712,21.71790118,68.21584805,0.972448347,0.94347038,0.270626847,0.342075445,0.113705797,0.167601699,1.075874602,17.00110447,0.618522373,2.20802937,17.13018417,28.92940716,109.07,28.82060884,10.92983349,40.82509838,46.91807537,28.82060884,3.98869546,4.107737432,0.167601699,3.14564436,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,2.162280182,1.195097333,2.406729172,2.211105981,36.40182075,11.68059772,4.567099648,0.369640883,7.004070989,112.23,29.52345452,21.24587678,68.21584805,0.972521386,0.94347038,0.270626997,0.330169158,0.144272473,0.167601699,0.994941509,17.00110438,0.651342944,2.208019792,17.13018417,29.24139737,112.23,34.92457523,10.9298336,34.91791865,58.76614583,34.92457523,3.988693784,4.107736082,0.167601699,3.106524785,1
13.30411692,17.42477437,0.545839422,5.666628138,3.296632692,2.162280182,1.195097333,2.406729172,2.211105981,36.40182075,11.68059772,4.567099648,0.369640883,7.004070989,112.23,29.52345452,21.24587678,68.21584805,0.972521386,0.94347038,0.270626997,0.330169158,0.144272473,0.167601699,0.994941509,17.00110438,0.651342944,2.208019792,17.13018417,29.24139737,112.23,34.92457523,10.9298336,34.91791865,58.76614583,34.92457523,3.988693784,4.107736082,0.167601699,3.106524785,1
